Generated On;Active Power (kW);Reactive Power (kVar);Power Factor
"2020-05-19 13:45:00	";1454.841;207.210;0.990
"2020-05-19 13:50:00	";1454.979;207.240;0.990
"2020-05-19 13:55:00	";1456.553;207.470;0.990
"2020-05-19 14:00:00	";1445.678;205.760;0.990
"2020-05-19 14:05:00	";1444.126;205.520;0.990
"2020-05-19 14:10:00	";1425.352;202.980;0.990
"2020-05-19 14:15:00	";1407.999;200.400;0.990
"2020-05-19 14:20:00	";1408.162;200.420;0.990
"2020-05-19 14:25:00	";1396.694;198.830;0.990
"2020-05-19 14:30:00	";1393.889;198.470;0.990
"2020-05-19 14:35:00	";1380.642;196.620;0.990
"2020-05-19 14:40:00	";1356.518;193.150;0.990
"2020-05-19 14:45:00	";1353.201;192.680;0.990
"2020-05-19 14:50:00	";1345.983;191.570;0.990
"2020-05-19 14:55:00	";1326.027;188.650;0.990
"2020-05-19 15:00:00	";1317.842;187.650;0.990
"2020-05-19 15:05:00	";1306.432;185.930;0.990
"2020-05-19 15:10:00	";1282.275;182.520;0.990
"2020-05-19 15:15:00	";1273.681;181.400;0.990
"2020-05-19 15:20:00	";1249.126;177.730;0.990
"2020-05-19 15:25:00	";1229.401;175.050;0.990
"2020-05-19 15:30:00	";1213.811;172.780;0.990
"2020-05-19 15:35:00	";1195.270;170.100;0.990
"2020-05-19 15:40:00	";1189.746;169.500;0.990
"2020-05-19 15:45:00	";1167.662;166.190;0.990
"2020-05-19 15:50:00	";1156.295;164.520;0.990
"2020-05-19 15:55:00	";1134.476;161.450;0.990
"2020-05-19 16:00:00	";1121.536;159.580;0.990
"2020-05-19 16:05:00	";1099.177;156.450;0.990
"2020-05-19 16:10:00	";1072.390;152.610;0.990
"2020-05-19 16:15:00	";1057.123;150.500;0.990
"2020-05-19 16:20:00	";1033.013;147.020;0.990
"2020-05-19 16:25:00	";991.460;141.130;0.990
"2020-05-19 16:30:00	";978.274;139.230;0.990
"2020-05-19 16:35:00	";945.659;134.540;0.990
"2020-05-19 16:40:00	";887.231;126.200;0.990
"2020-05-19 16:45:00	";895.414;127.500;0.990
"2020-05-19 16:50:00	";872.819;124.170;0.990
"2020-05-19 16:55:00	";847.744;120.590;0.990
"2020-05-19 17:00:00	";815.862;115.990;0.990
"2020-05-19 17:05:00	";792.625;112.720;0.990
"2020-05-19 17:10:00	";760.482;108.150;0.990
"2020-05-19 17:15:00	";734.329;104.460;0.990
"2020-05-19 17:20:00	";708.618;100.760;0.990
"2020-05-19 17:25:00	";681.896;96.990;0.990
"2020-05-19 17:30:00	";659.410;93.720;0.990
"2020-05-19 17:35:00	";630.246;89.600;0.990
"2020-05-19 17:40:00	";584.342;83.100;0.990
"2020-05-19 17:45:00	";512.116;72.780;0.990
"2020-05-19 17:50:00	";345.715;49.070;0.990
"2020-05-19 17:55:00	";409.005;58.120;0.990
"2020-05-19 18:00:00	";211.892;30.040;0.990
"2020-05-19 18:05:00	";173.766;24.620;0.990
"2020-05-19 18:10:00	";243.103;34.470;0.990
"2020-05-19 18:15:00	";273.550;38.800;0.990
"2020-05-19 18:20:00	";443.168;62.940;0.990
"2020-05-19 18:25:00	";356.980;50.660;0.990
"2020-05-19 18:30:00	";203.256;28.760;0.990
"2020-05-19 18:35:00	";251.914;35.680;0.990
"2020-05-19 18:40:00	";222.928;31.570;0.990
"2020-05-19 18:45:00	";197.541;27.940;0.990
"2020-05-19 18:50:00	";150.268;21.220;0.990
"2020-05-19 18:55:00	";131.171;18.480;0.990
"2020-05-19 19:00:00	";114.457;16.120;0.990
"2020-05-19 19:05:00	";78.883;11.040;0.990
"2020-05-19 19:10:00	";69.544;9.750;0.990
"2020-05-19 19:15:00	";77.375;10.870;0.990
"2020-05-19 19:20:00	";67.846;9.440;0.990
"2020-05-19 19:25:00	";58.972;8.230;0.990
"2020-05-19 19:30:00	";63.184;8.840;0.990
"2020-05-19 19:35:00	";57.607;8.000;0.990
"2020-05-19 19:40:00	";53.779;7.470;0.990
"2020-05-19 19:45:00	";54.564;7.590;0.990
"2020-05-19 19:50:00	";45.118;6.220;0.990
"2020-05-19 19:55:00	";36.250;4.970;0.990
"2020-05-19 20:00:00	";21.823;2.950;0.990
"2020-05-19 20:05:00	";15.365;2.000;0.991
"2020-05-19 20:10:00	";8.903;1.040;0.993
"2020-05-19 20:15:00	";3.044;0.200;0.997
"2020-05-19 20:20:00	";0.717;0.010;0.999
"2020-05-19 20:25:00	";0.072;-0.036;0.894
"2020-05-19 20:30:00	";0.017;-0.063;0.260
"2020-05-19 20:35:00	";0.000;0.000;0.000
"2020-05-19 20:40:00	";0.000;0.000;0.000
"2020-05-19 20:45:00	";0.000;0.000;0.000
"2020-05-19 20:50:00	";0.000;0.000;0.000
"2020-05-19 20:55:00	";0.000;0.000;0.000
"2020-05-19 21:00:00	";0.000;0.000;0.000
